engine,scenario,minute,thermal_load_input,degradation_input,thermal_load_high,primary_cooling_degraded,backup_reserve_stressed,power_constraint,process_thermal_risk,alarm_interpreted,authorization_ready,intervention_executed,physical_risk_probability_exact,decision_response_probability_exact,uncontained_risk_probability_exact,contained_or_avoided_probability_exact,measurement_shots,physical_risk_probability_sampled,decision_response_probability_sampled,uncontained_risk_probability_sampled,contained_or_avoided_probability_sampled,trace
Qiskit DensityMatrix,Sensor-only,40,1.0,1.0,0.2562069653322048,0.09161825481475792,0.04791487761831736,0.013487909411794747,0.017033510569945894,0.03268157308291575,0.002,0.0009999999999999994,0.017033510569945894,0.0009999999999999994,0.01701647705937595,0.0009829664894300536,8192,0.0177001953125,0.0009765625,0.0177001953125,0.0009765625,0.9999999999999999
Qiskit DensityMatrix,Sensor-only,41,1.0,1.0,0.26888275033491843,0.09831734818154257,0.05092147868733569,0.013710803440990113,0.01779123412464435,0.03655766708191951,0.0019999999999999996,0.0009999999999999998,0.01779123412464435,0.0009999999999999998,0.0177734428905197,0.0009822087658753551,8192,0.018310546875,0.0009765625,0.0181884765625,0.0008544921875,0.9999999999999997
Qiskit DensityMatrix,Sensor-only,42,1.0,1.0,0.281723365608584,0.10517794625930887,0.05408359072840233,0.013945298261664194,0.018590040531801834,0.040718682384974385,0.002000000000000001,0.0009999999999999994,0.018590040531801834,0.0009999999999999994,0.018571450491270028,0.0009814099594681977,8192,0.016845703125,0.0015869140625,0.016845703125,0.0015869140625,0.9999999999999997
Qiskit DensityMatrix,Sensor-only,43,1.0,1.0,0.2947158170543897,0.11219002867479728,0.057401196483506764,0.014191725825881284,0.019431739463623938,0.04516114366353755,0.0020000000000000018,0.0010000000000000005,0.019431739463623938,0.0010000000000000005,0.0194123077241603,0.000980568260536376,8192,0.0186767578125,0.0010986328125,0.0186767578125,0.0010986328125,0.9999999999999997
Qiskit DensityMatrix,Sensor-only,44,1.0,1.0,0.30784698725352105,0.11934352383752507,0.06087378335461033,0.014450399804210458,0.020318122444627537,0.04987955198083455,0.0020000000000000005,0.000999999999999999,0.020318122444627537,0.000999999999999999,0.0202978043221829,0.0009796818775553724,8192,0.020263671875,0.0010986328125,0.02001953125,0.0008544921875,0.9999999999999994
Qiskit DensityMatrix,Sensor-only,45,1.0,1.0,0.3211036498135327,0.12662832752073777,0.06450033826302834,0.01472161552167631,0.021250952315291574,0.05486643317719525,0.0020000000000000005,0.0009999999999999985,0.021250952315291574,0.0009999999999999985,0.021229701362976274,0.0009787490476847074,8192,0.021240234375,0.0006103515625,0.0211181640625,0.00048828125,0.9999999999999998
Qiskit DensityMatrix,Sensor-only,46,1.0,1.0,0.3344724837653494,0.1340343207369813,0.06827934514968746,0.015005650338491446,0.022231952667408822,0.060112414175106585,0.0019999999999999983,0.0009999999999999996,0.022231952667408822,0.0009999999999999996,0.02220972071474141,0.0009777680473325907,8192,0.0201416015625,0.000732421875,0.0201416015625,0.000732421875,0.9999999999999994
Qiskit DensityMatrix,Sensor-only,47,1.0,1.0,0.3479400879932382,0.14155138688940036,0.07220878519778591,0.015302764475202657,0.02326279735569685,0.06560632558781969,0.0020000000000000005,0.0009999999999999985,0.02326279735569685,0.0009999999999999985,0.023239534558341154,0.0009767372026443018,8192,0.025146484375,0.0008544921875,0.025146484375,0.0008544921875,0.9999999999999997
Qiskit DensityMatrix,Sensor-only,48,1.0,1.0,0.36149299568022925,0.14916942818432752,0.07628613984626992,0.015613202272974627,0.024345100192454294,0.07133532843832499,0.002,0.0009999999999999994,0.024345100192454294,0.0009999999999999994,0.02432075509226185,0.0009756548998075448,8192,0.0260009765625,0.0015869140625,0.02587890625,0.00146484375,0.9999999999999997
Qiskit DensityMatrix,Sensor-only,49,1.0,1.0,0.37511768875158846,0.15687838129497922,0.08050839664766243,0.0159371938707004,0.02548040493301001,0.07728506227141888,0.002,0.0009999999999999992,0.02548040493301001,0.0009999999999999992,0.02545492452807701,0.0009745195950669891,8192,0.026611328125,0.0008544921875,0.026611328125,0.0008544921875,0.9999999999999997
