engine,scenario,minute,thermal_load_input,degradation_input,thermal_load_high,primary_cooling_degraded,backup_reserve_stressed,power_constraint,process_thermal_risk,alarm_interpreted,authorization_ready,intervention_executed,physical_risk_probability,decision_response_probability,uncontained_risk_probability,contained_or_avoided_probability,trace
NumPy density matrix,Sensor-only,42,1.0,1.0,0.28172336560858374,0.1051779462593089,0.054083590728402346,0.013945298261664194,0.018590040531801848,0.04071868238497439,0.0020000000000000005,0.0009999999999999992,0.018590040531801848,0.0009999999999999992,0.018571450491270042,0.0009814099594681977,0.9999999999999992
NumPy density matrix,Sensor-only,43,1.0,1.0,0.2947158170543895,0.1121900286747973,0.05740119648350678,0.014191725825881284,0.01943173946362395,0.04516114366353755,0.0020000000000000013,0.0010000000000000005,0.01943173946362395,0.0010000000000000005,0.019412307724160315,0.000980568260536376,0.999999999999999
NumPy density matrix,Sensor-only,44,1.0,1.0,0.30784698725352083,0.11934352383752511,0.06087378335461036,0.01445039980421046,0.020318122444627548,0.049879551980834574,0.002,0.0009999999999999987,0.020318122444627548,0.0009999999999999987,0.02029780432218291,0.0009796818775553722,0.9999999999999989
NumPy density matrix,Sensor-only,45,1.0,1.0,0.3211036498135324,0.12662832752073783,0.06450033826302833,0.014721615521676317,0.021250952315291595,0.05486643317719525,0.002,0.0009999999999999983,0.021250952315291595,0.0009999999999999983,0.021229701362976295,0.0009787490476847074,0.9999999999999993
NumPy density matrix,Sensor-only,46,1.0,1.0,0.3344724837653491,0.13403432073698135,0.06827934514968746,0.01500565033849145,0.02223195266740883,0.060112414175106585,0.0019999999999999983,0.0009999999999999994,0.02223195266740883,0.0009999999999999994,0.022209720714741418,0.0009777680473325905,0.9999999999999991
NumPy density matrix,Sensor-only,47,1.0,1.0,0.34794008799323795,0.14155138688940042,0.07220878519778591,0.015302764475202653,0.02326279735569687,0.06560632558781969,0.002,0.0009999999999999985,0.02326279735569687,0.0009999999999999985,0.023239534558341175,0.0009767372026443018,0.9999999999999992
NumPy density matrix,Sensor-only,48,1.0,1.0,0.3614929956802289,0.1491694281843276,0.07628613984626995,0.015613202272974632,0.02434510019245431,0.07133532843832499,0.0019999999999999996,0.0009999999999999994,0.02434510019245431,0.0009999999999999994,0.024320755092261868,0.0009756548998075448,0.999999999999999
NumPy density matrix,Sensor-only,49,1.0,1.0,0.37511768875158824,0.15687838129497925,0.08050839664766245,0.015937193870700403,0.025480404933010032,0.0772850622714189,0.0020000000000000005,0.000999999999999999,0.025480404933010032,0.000999999999999999,0.02545492452807703,0.0009745195950669889,0.999999999999999
NumPy density matrix,Sensor-only,50,1.0,1.0,0.38880061229911955,0.1646682322701135,0.08487205800718413,0.01627495727163794,0.02667017565934308,0.08343981148695764,0.0019999999999999983,0.0009999999999999998,0.02667017565934308,0.0009999999999999998,0.026643505483683737,0.0009733298243406565,0.9999999999999992
NumPy density matrix,Sensor-only,51,1.0,1.0,0.4025281889692381,0.17252903068533368,0.08937315282186992,0.01662670076350433,0.027915787667509604,0.0897826863518666,0.001999999999999998,0.0009999999999999996,0.027915787667509604,0.0009999999999999996,0.02788787187984209,0.0009720842123324897,0.9999999999999991
